dimension,slice,variant,target_fp_per_image,threshold_selected_on_policy,images,ground_truth,true_positives,false_positives,recall,fp_per_image
source_role,policy_source_seen,altitude_gimbal,0.25,0.7496195156080271,186,1049,222,15,0.21163012392755,0.0806451612903225
source_role,policy_source_seen,altitude_gimbal,0.5,0.6361019868258976,186,1049,249,56,0.2373689227836034,0.3010752688172043
source_role,policy_source_seen,altitude_gimbal,1.0,0.5083894568276681,186,1049,321,155,0.3060057197330791,0.8333333333333334
source_role,policy_source_seen,class_logistic,0.1,0.7493441901130184,186,1049,179,2,0.1706387035271687,0.010752688172043
source_role,policy_source_seen,class_logistic,0.25,0.6544880418671466,186,1049,196,17,0.1868446139180171,0.0913978494623656
source_role,policy_source_seen,class_logistic,0.5,0.5461386452851359,186,1049,269,68,0.2564346997140133,0.3655913978494624
source_role,policy_source_seen,class_logistic,1.0,0.4099827960831759,186,1049,365,191,0.3479504289799809,1.0268817204301075
source_role,policy_source_seen,full_metadata,0.1,0.8751093829330712,186,1049,177,2,0.1687321258341277,0.010752688172043
source_role,policy_source_seen,full_metadata,0.25,0.7743658760101133,186,1049,219,10,0.2087702573879885,0.053763440860215
source_role,policy_source_seen,full_metadata,0.5,0.6614888134856454,186,1049,252,37,0.2402287893231649,0.1989247311827957
source_role,policy_source_seen,full_metadata,1.0,0.5367560073493697,186,1049,307,139,0.2926596758817922,0.7473118279569892
source_role,policy_source_seen,global_logistic,0.1,0.7212421133598206,186,1049,229,4,0.2183031458531935,0.021505376344086
source_role,policy_source_seen,global_logistic,0.25,0.6397936030446776,186,1049,245,19,0.2335557673975214,0.1021505376344086
source_role,policy_source_seen,global_logistic,0.5,0.538856722456463,186,1049,295,69,0.2812202097235462,0.3709677419354839
source_role,policy_source_seen,global_logistic,1.0,0.4119000581518251,186,1049,402,189,0.3832221163012392,1.0161290322580645
source_role,policy_source_seen,raw,0.1,0.7017635703086853,186,1049,229,4,0.2183031458531935,0.021505376344086
source_role,policy_source_seen,raw,0.25,0.6211246848106384,186,1049,245,19,0.2335557673975214,0.1021505376344086
source_role,policy_source_seen,raw,0.5,0.5229954719543457,186,1049,295,69,0.2812202097235462,0.3709677419354839
source_role,policy_source_seen,raw,1.0,0.4013839364051819,186,1049,402,189,0.3832221163012392,1.0161290322580645
